Time		Subtitle		Translation
00:08:30				等到KDJ蓝色信号线从20以下位阶 
00:08:33				大于20以上时 
00:08:35				进行空单平仓 
00:08:37				可以看到我们的停利目标最终在这里击中了这根K棒 
00:08:41				常见的错误进场行为 
00:08:44				第一(错误交易) 
00:08:45				进行空单说明 
00:08:46				某一根K棒收盘后 
00:08:48				收在布林通道的上线 
00:08:50				并且KDJ蓝色信号线大于80以上位阶 
00:08:54				因图表缺少蓝底挤压 
00:08:55				此笔空单信号不算 
00:08:57				第二(错误交易) 
00:08:59				进行多单说明 
00:09:00				某一根K棒收盘后 
00:09:02				收在布林通道的下线 
00:09:04				并且KDJ蓝色信号线小于20以下位阶 
00:09:08				因图表缺少蓝底挤压 
00:09:09				此笔多单信号不算 
00:09:11				第三(错误交易) 
00:09:13				进行多单说明 
00:09:14				某一根K棒收盘后 
00:09:16				收在布林通道的下线 
00:09:18				图表出现蓝底挤压 
00:09:19				但对应的KDJ指标 
00:09:21				没有小于20以下位阶 
00:09:23				此笔多单信号不算 
00:09:25				第四(错误交易) 
00:09:26				进行空单说说明 
00:09:28				某一根K棒收盘后 
00:09:29				都符合以上条件 
00:09:31				当等到KDJ蓝色信号线小于80以下位阶 
00:09:35				因关键K棒收盘后没有呈现跌幅 
00:09:38				此笔空单信号不算 
00:09:40				若依照这些交易规则来进行 
00:09:42				将可以排除过多的错误以及横盘信号 
00:09:45				可以大幅增加你的胜率及期望值 
00:09:47				请大家务必多看几次 
00:09:50				最后 
00:09:51				又到了干大事的时间 
00:09:53				没错 
00:09:53				我将进行100次的复盘回测 
00:09:55				入金金额为1000美元 
00:09:57				对于资金控管 
00:09:58				每笔风险百分比的交易总额为2% 
00:10:02				杠杆使用1比100 
00:10:03				事不宜迟 
00:10:04				让我们开始吧 
00:10:05				(音乐) 
00:10:11				这是以太币兑美元 
00:10:12				1小时级别图表里 
00:10:14				回测日期为2021年5月至2022年8月 
00:10:17				在这336天的交易日里 
00:10:20				总交易次数为100次 
00:10:21				胜率为67% 
00:10:24				盈利8117.49美元 
00:10:26				连续盈利7次 连续盈亏4次 
00:10:31				风险与报酬比16.02 
00:10:33				总获得2845.59大点 
00:10:37				总收益率为812% 
00:10:39				净值曲线图 
00:10:41				可以看到 
00:10:42				像搭乘火箭一样 
00:10:43				接近近90度的往上扬 
00:10:45				完美的抓住逆势行情的交易策略 
00:10:49				这套逆势波段交易策略 
00:10:51				在我的投资组合里 
00:10:52				扮演着非常重要的脚色 
00:10:54				如果你正打算使用此策略 
00:10:56				请记得一定要好好的优化它 
00:10:59				自频道创立以来 
00:11:00				感谢各位观众朋友们的支持 
00:11:03				在我的描述栏里 
00:11:04				新增一项连结 
00:11:05				这项连结说明了自开播以来所有策略的分类 
00:11:08				这也包含使用的指标 
00:11:10				图表级别 
00:11:11				交易类别 
00:11:12				胜率 
00:11:13				收益率 
00:11:14				风险报酬比等 
00:11:15				方便大家快速查找 
00:11:17				虽然目前集数不多 
00:11:19				但有你们的支持 
00:11:20				就是我唯一创作的动力 
00:11:22				不论你是程式交易者或是主观交易者 
00:11:25				希望看完本频道后 
00:11:26				都可从中受益 
00:11:28				有任何问题欢迎私讯或底下留言一起交流 
00:11:31				如果你喜欢本集的内容 
00:11:33				请不要忘了订阅我的频道 
00:11:35				并且花你5秒的时间点赞及分享 
00:11:37				我会非常的感谢 
00:11:40				好拉 
00:11:40				指标靠量化 策略要内化 
00:11:42				今天的频道就分享到这 
00:11:45				如果你对这套交易策略有其它更棒的想法 
00:11:48				也欢迎底下留言 
00:11:49				指标与策略祝各位顺心 
00:11:51				我们下次见  
